logFC logCPM LR PValue FDR Gene_Name Mean_count Count_Std_Dev Count_Kurtosis
ENSMUSG00000073411 0.640786776420808 7.965863170433 6.05666394861038 0.0138539150967877 0.7684584448122 H2-D1 6857.5 2931.49203737916 -1.28871098590291
ENSMUSG00000007021 -0.214267536983559 7.38380881554607 6.0449164847743 0.013946392710614 0.7684584448122 Syngr3 4733.25 913.524862230385 0.493685747650309
ENSMUSG00000010803 -0.682392645342108 6.89910644224953 6.04086103791235 0.0139784650001906 0.7684584448122 Gabra1 3470.33333333333 2762.27555321406 1.33737337458137
ENSMUSG00000015305 0.275748463635555 7.69877914522527 6.04055467290474 0.013980890952536 0.7684584448122 Sash1 5826.125 1221.09225206103 5.63283481955068
ENSMUSG00000040997 0.321949424544832 7.87242500217918 5.9860270878947 0.0144196435894603 0.7789093683755 Abhd4 6511.29166666667 1301.62782629614 -1.1016869350216
ENSMUSG00000030029 0.244123413990995 7.95395822970627 5.92322654863839 0.0149425701770711 0.781150550977402 Lrig1 6939.95833333333 1016.92158986204 -0.802925545389845
ENSMUSG00000016534 0.269059567296958 7.97129701201721 5.92119680622114 0.0149597935073872 0.781150550977402 Lamp2 6992.875 1041.56668418719 -1.21201247087266
ENSMUSG00000046432 -0.188164614030346 7.67331818155875 5.87729593272764 0.0153373590160736 0.787736816350142 Ngfrap1 5770.58333333333 934.587233542942 -0.648303576224361
ENSMUSG00000071658 -0.195277299555036 7.67779658076122 5.78835912420473 0.0161326404456678 0.805822460037501 Gng3 5803.875 1088.48819420012 -0.108425327831803
ENSMUSG00000042750 -0.227277049041505 7.26225691889797 5.75416073019258 0.0164496518536755 0.805822460037501 Bex2 4362.91666666667 987.502995776047 0.0351286631525825
ENSMUSG00000038418 -0.95581215056779 6.83252045755085 5.75293809949071 0.0164611035564635 0.805822460037501 Egr1 3190.5 5241.13922232811 17.3093676679843
ENSMUSG00000039474 0.333988776785306 6.79530030047671 5.69005324774881 0.0170613368806392 0.811594848973662 Wfs1 3088.33333333333 475.579798695799 -0.465804057059164
ENSMUSG00000044792 -0.27545094393119 7.0019200970319 5.66122322723715 0.0173440226300412 0.811594848973662 Isca1 3655.04166666667 1067.8113935061 1.3518933326913
ENSMUSG00000053646 0.192360547532713 7.87241532025397 5.65999608231963 0.0173561617878185 0.811594848973662 Plxnb1 6605.04166666667 971.61749850741 0.194112456286181
ENSMUSG00000021796 0.226042893471433 7.157306789614 5.63229452696396 0.0176325365281519 0.812393190333822 Bmpr1a 3999 477.371881286988 -0.167214101712301
ENSMUSG00000024767 -0.196024008165083 7.90580713756774 5.5388468354769 0.0185988344654404 0.836965135201645 Otub1 6798.04166666667 1339.09529742275 0.153330824687189
ENSMUSG00000008140 -0.235519870822772 7.74897379073974 5.52934106056018 0.0187001466530849 0.836965135201645 Emc10 6121.95833333333 1568.68520075188 0.448823486261095
ENSMUSG00000020657 -0.248449700704875 8.26383675543958 5.49125351489673 0.0191118356678721 0.840460004113817 Dnajc27 8713.83333333333 2004.44156088784 -1.06956453058288
ENSMUSG00000051111 0.524525410747949 7.05328890915626 5.47279134739919 0.0193147527277992 0.840460004113817 Sv2c 3747.20833333333 1941.58906186271 2.80051684580927
ENSMUSG00000030329 -0.289327914170806 7.05123683865659 5.39831476462932 0.0201562049508442 0.865060138506781 Pianp 3751.58333333333 1061.62066084653 3.87166697785954
ENSMUSG00000024851 -0.197198176881666 7.93558302621461 5.35169647168045 0.0207021184605331 0.868039783192181 Pitpnm1 6967.45833333333 1580.46523087808 0.833811665729979
ENSMUSG00000025241 0.219205891811185 7.38283858466031 5.3275534062858 0.0209908313538489 0.868039783192181 Fyco1 4669.91666666667 537.771643525121 -1.10069438702937
ENSMUSG00000026860 -0.195896820915356 7.78770939826304 5.32208331540316 0.0210568220627532 0.868039783192181 Sh3glb2 6265.66666666667 1261.66210823751 -0.473214314651222
ENSMUSG00000033152 -0.185081270305877 8.43803259062996 5.26344446066957 0.0217778769240491 0.869814255118443 Podxl2 9823.29166666667 1723.43134672782 -0.475156481116499
ENSMUSG00000021091 0.76396702652114 8.82326601192921 5.262608985247 0.0217883331324293 0.869814255118443 Serpina3n 12233.25 7341.0789412551 -0.789567796704355
ENSMUSG00000037428 0.261202802088673 8.08619960979547 5.18234245456802 0.0228175423406353 0.869814255118443 Vgf 7629.125 1537.46896221765 -0.539404336866896
ENSMUSG00000032902 0.28725139004229 7.63672728475173 5.17238822110535 0.022948645620061 0.869814255118443 Slc16a1 5530.875 981.891223608807 -0.6421380578621
ENSMUSG00000013076 0.266007626879798 6.98840244711008 5.16876722277117 0.0229965298224778 0.869814255118443 Amotl1 3543.33333333333 515.530681975352 -0.683141263010298
ENSMUSG00000034853 0.226940896300972 6.9415523576135 5.1568620228296 0.0231546959583204 0.869814255118443 Acot11 3453.58333333333 463.911340542628 -0.119151480697863
ENSMUSG00000061436 0.343097464137919 6.93226909755188 5.15206625788005 0.0232187281966338 0.869814255118443 Hipk2 3443.70833333333 1066.1198839174 1.29397583545174
ENSMUSG00000055013 0.213977044230467 8.55480899317662 5.04872747352422 0.0246440310221629 0.869814255118443 Agap1 10512.625 1108.46865824179 -1.26735813616633
ENSMUSG00000041112 -0.176457962927379 7.54448454484782 5.04432085894185 0.024706790639712 0.869814255118443 Elmo1 5300.95833333333 1012.04671997186 -0.207266848888047
ENSMUSG00000019082 -0.232161554274797 7.04088007393189 5.04252975161773 0.024732347235909 0.869814255118443 Slc25a22 3745.375 909.068601826115 0.157972652629853
ENSMUSG00000024411 0.403576761399384 9.95508996109138 5.0100063989947 0.0252012141229098 0.869814255118443 Aqp4 27581.9166666667 6891.70809215946 -0.8029511514647
ENSMUSG00000048578 0.201505617203614 8.47026084426341 5.00931119271962 0.0252113365834698 0.869814255118443 Mlec 9938.625 1088.89783976036 -0.650642292984867
ENSMUSG00000058135 0.285277872509626 8.57643189069126 4.98226012118516 0.0256085067345538 0.869814255118443 Gstm1 10624.125 1923.0249792065 -1.04400522137881
ENSMUSG00000068099 0.244159435127723 7.70754037234698 4.97136071343184 0.0257703660073524 0.869814255118443 1500009C09Rik 5829.25 852.537350960419 -1.20880264944911
ENSMUSG00000036887 0.893129180424883 7.50623801532891 4.96273650842807 0.0258991908270994 0.869814255118443 C1qa 4875.375 3772.83793326087 -0.5122972995172
ENSMUSG00000020326 0.305912373453705 6.97221648176602 4.95674925583239 0.0259890192613927 0.869814255118443 Ccng1 3487.29166666667 673.692710182931 -0.432312987387447
ENSMUSG00000003363 -0.20651179867851 7.90683969623609 4.94798264080352 0.0261211316564227 0.869814255118443 Pld3 6816.875 1603.42655672971 1.26837219527127
ENSMUSG00000020473 0.623036678176877 6.5784278942092 4.92952068118736 0.0264016397051734 0.869814255118443 Aebp1 2673.75 1321.40038529617 -0.23556029492282
ENSMUSG00000034158 0.194029145012354 7.5387251375038 4.92627435530635 0.0264512865975605 0.869814255118443 Lrrc58 5218.375 621.950565105284 -0.323551070557333
ENSMUSG00000032356 -0.337881488464233 8.91612793057035 4.91318424367498 0.026652463610396 0.869814255118443 Rasgrf1 13922.1666666667 6318.49266330443 9.10971613187155
ENSMUSG00000070498 0.224849886026424 6.96180968447011 4.87276858172931 0.0272836944500036 0.870767547229056 Tmem132b 3493.33333333333 451.511053999853 -0.234268954221326
ENSMUSG00000020611 0.234436509407945 7.56413593905578 4.83336467290969 0.0279141029055502 0.870767547229056 Gna13 5275.70833333333 675.473069599095 -0.34601550923333
ENSMUSG00000005575 -0.236550139803235 7.08428633758108 4.83078187603873 0.027955949703168 0.870767547229056 Ube2m 3863.54166666667 1041.07912154593 0.85438981420604
