logFC logCPM PValue FDR Gene_Name Mean_count Count_Std_Dev Count_Kurtosis
ENSMUSG00000024353 1.20468145092033 -2.28203444125612 0.00246612698247209 1 Mzb1 6.30434782608696 11.3114878974477 15.4980723162285
ENSMUSG00000067121 -0.596957213494623 -2.07368596077555 0.00265852593151481 1 Gm7027 7.54347826086957 3.6739716429023 -0.12375269658979
ENSMUSG00000045345 -0.34713022767435 1.38684728095144 0.00282491095407727 1 9530056K15Rik 102.478260869565 33.4396565176636 -0.999972963499029
ENSMUSG00000076612 1.43942127563392 0.807112074228381 0.00284649238203791 1 Ighg2c 72.8478260869565 228.306905272638 39.3475008954356
ENSMUSG00000067149 1.1535811159153 0.921980347493593 0.00287091872813149 1 Igj 76 217.325971245449 37.4973985905128
ENSMUSG00000005087 0.495272903223169 3.09718786442258 0.00289398684735196 1 Cd44 336.760869565217 236.197204309601 27.8680652929882
ENSMUSG00000056071 1.18255779528353 0.638861473865288 0.00294739940628498 1 S100a9 62.9782608695652 128.131441042294 19.852191675519
ENSMUSG00000036111 -0.235955414493978 2.60470509790785 0.00317021232754662 1 Lmo1 243.652173913043 75.0224314281489 -0.497421579110331
ENSMUSG00000045795 -0.167635402423024 4.11525411959786 0.0032677076905027 1 Whamm 694.608695652174 192.357823774209 0.63558103147866
ENSMUSG00000029544 -0.244691851780226 6.09886006498962 0.00341023007385096 1 Cabp1 2779.15217391304 982.600788551401 0.658835135021977
ENSMUSG00000097428 -0.252481810458194 4.13094494476758 0.00375892445071298 1 AW047730 699.391304347826 209.202663915572 -0.708383669222581
ENSMUSG00000007888 -0.363307727397954 1.13421784924894 0.00379587844504908 1 Crlf1 87.0869565217391 34.6287138959413 -0.555223032902873
ENSMUSG00000028435 -1.34384196128868 -2.93480299846722 0.00387447317347299 1 Aqp3 3.26086956521739 4.33812444167956 12.0262565876239
ENSMUSG00000050063 0.676539625451952 2.82378754657368 0.00397136055721568 1 Klk6 281 300.660310354097 27.3523819407522
ENSMUSG00000087328 -0.647687356715442 -1.91653932433864 0.00419356520744473 1 Gm12120 8.6304347826087 4.96368454388549 0.307434752536644
ENSMUSG00000090461 -0.92810790733788 -2.78756371578269 0.00430099118505732 1 Iltifb 3.80434782608696 3.10998081607082 2.08828549312967
